
test-simple-diode - Newton Raphson
*TIME*            CLASP::V0         CLASP::V1         CLASP::IE1        CLASP::V2         CLASP::ID1        CLASP::ID2        CLASP::V4         CLASP::ID3        CLASP::ID4        
            0.0;             0.0; .000000000000001;             0.0; .000000000000001;             0.0;             0.0; .000000000000000;             0.0;             0.0; 
            2.1;             0.0; -.4038068447877; .00005559573683; .45940258161537; .00005559573683;             0.0; .05559573682768;             0.0; .00005559573683; 
            2.2;             0.0; -.3887001628873; .00003109603024; .41979619312317; .00003109603024;             0.0; .03109603023591;             0.0; .00003109603024; 
            2.3;             0.0; -0.366286788403; .00001313167012; 0.3794184585224; .00001313167012;             0.0; .01313167011941;             0.0; .00001313167012; 
            2.4;             0.0; -.3357062955717; .00000405054887; .33975684443911; .00000405054887;             0.0; .00405054886738;             0.0; .00000405054887; 
            2.5;             0.0;  -0.29874726017; .00000097759804; .29972485820769; .00000097759804;             0.0; 0.0009775980377;             0.0; .00000097759804; 
            2.6;             0.0; -.2576501097175; .00000020122014; .25785132985387; .00000020122014;             0.0; .00020122013635;             0.0; .00000020122014; 
            2.7;             0.0; -.2136713904684; .00000003706564; .21370845610445; .00000003706564;             0.0; .00003706563603;             0.0; .00000003706564; 
            2.8;             0.0; -.1674909701329; .00000000626636; .16749723649209; .00000000626636;             0.0; 0.0000062663592;             0.0; .00000000626636; 
            2.9;             0.0; -.1196241218323; .00000000098577; .11962510759881; .00000000098577;             0.0; .00000098576646;             0.0; .00000000098577; 
            3.0;             0.0; -.0705599304011; .00000000014087; 0.0705600712726; .00000000014087;             0.0; 0.0000001408715;             0.0; .00000000014087; 
            3.1;             0.0; -.0207903733708; .00000000001225; .02079038561801; .00000000001225;             0.0; .00000001224717;             0.0; .00000000001225; 
            3.2;             0.0; 7.4952479084295; 2834158843790064400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.; 7.5536221009952;             0.0; -2834158843790064400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.; -.00000000000000;             0.0; 2834158843790064400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.; 
            3.3;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            3.4;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            3.5;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            3.6;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            3.7;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
